year,imdb,title,clean_test,binary,budget_2013,rated,metascore,imdb_rating
2013,tt1711425,21 &amp; Over,notalk,FAIL,13000000,NA,NA,NA
2012,tt1343727,Dredd 3D,ok,PASS,45658735,NA,NA,NA
2013,tt2024544,12 Years a Slave,notalk,FAIL,20000000,R,97,8.3
2013,tt1272878,2 Guns,notalk,FAIL,61000000,R,55,6.8
2013,tt0453562,42,men,FAIL,40000000,PG-13,62,7.6
2013,tt1335975,47 Ronin,men,FAIL,225000000,PG-13,29,6.6
2013,tt1606378,A Good Day to Die Hard,notalk,FAIL,92000000,R,28,5.4
2013,tt2194499,About Time,ok,PASS,12000000,R,55,7.8
2013,tt1814621,Admission,ok,PASS,13000000,PG-13,48,5.7
2013,tt1815862,After Earth,notalk,FAIL,130000000,PG-13,33,5
2013,tt1800241,American Hustle,ok,PASS,40000000,R,90,7.5
2013,tt1322269,August: Osage County,ok,PASS,25000000,R,58,7.4
2013,tt1559547,Beautiful Creatures,ok,PASS,50000000,PG-13,52,6.2
2013,tt2334873,Blue Jasmine,ok,PASS,18000000,PG-13,78,7.4
2013,tt1535109,Captain Phillips,notalk,FAIL,55000000,PG-13,83,8
2013,tt1939659,Carrie,ok,PASS,30000000,R,53,6
2013,tt1985966,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,78000000,PG,59,6.5
2013,tt1690953,Despicable Me 2,ok,PASS,76000000,PG,62,7.6
2013,tt2229499,Don Jon,dubious,FAIL,5500000,R,66,6.8
2013,tt1535108,Elysium,ok,PASS,120000000,R,61,6.7
2013,tt1731141,Ender&#39;s Game,men,FAIL,110000000,NA,NA,NA
2013,tt0848537,Epic,ok,PASS,100000000,PG,52,6.7
2013,tt0765446,Escape from Planet Earth,ok,PASS,40000000,PG,35,5.9
2013,tt1211956,Escape Plan,men,FAIL,70000000,R,49,6.8
2013,tt1288558,Evil Dead,ok,PASS,17000000,R,57,6.5
2013,tt1905041,Fast and Furious 6,ok,PASS,160000000,NA,NA,NA
2013,tt2294629,Frozen,ok,PASS,150000000,PG,74,7.9
2013,tt1583421,G.I. Joe: Retaliation,ok,PASS,140000000,PG-13,41,5.9
2013,tt1321870,Gangster Squad,notalk,FAIL,60000000,R,40,6.8
2013,tt2425486,Gloria,ok,PASS,30000000,R,83,7
2013,tt1454468,Gravity,nowomen,FAIL,110000000,PG-13,96,8.2
2013,tt2191701,Grown Ups 2,men,FAIL,80000000,PG-13,19,5.4
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,ok,PASS,50000000,NA,NA,NA
2013,tt1798709,Her,men,FAIL,23000000,R,90,8.3
2013,tt2024432,Identity Thief,men,FAIL,35000000,R,35,5.7
2013,tt2226417,Insidious: Chapter 2,men,FAIL,5000000,PG-13,40,6.7
2013,tt1300854,Iron Man 3,dubious,FAIL,200000000,PG-13,62,7.4
2013,tt1351685,Jack the Giant Slayer,nowomen,FAIL,195000000,PG-13,51,6.3
2013,tt1650554,Kick-Ass 2,ok,PASS,28000000,R,41,6.8
2013,tt1204975,Last Vegas,notalk,FAIL,28000000,PG-13,48,6.7
2013,tt1327773,Lee Daniels&#39; The Butler,ok,PASS,30000000,NA,NA,NA
2013,tt2002718,Machete Kills,ok,PASS,2000000,R,41,5.8
2013,tt2023587,Mama,ok,PASS,15000000,PG-13,57,6.3
2013,tt0770828,Man of Steel,ok,PASS,225000000,PG-13,55,7.4
2013,tt1821549,Nebraska,ok,PASS,12000000,R,86,7.9
2013,tt1670345,Now You See Me,notalk,FAIL,75000000,PG-13,50,7.3
2013,tt1483013,Oblivion,men,FAIL,120000000,PG-13,54,7
2013,tt2302755,Olympus Has Fallen,notalk,FAIL,70000000,R,41,6.5
2013,tt1623205,Oz the Great and Powerful,ok,PASS,200000000,PG,44,6.4
2013,tt1663662,Pacific Rim,notalk,FAIL,190000000,PG-13,64,7.1
2013,tt1980209,Pain &amp; Gain,notalk,FAIL,26000000,NA,NA,NA
2013,tt1904996,Parker,ok,PASS,35000000,R,43,6.2
2013,tt1699755,Peeples,dubious,FAIL,15000000,PG-13,52,5
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,PASS,90000000,PG,39,6
2013,tt1392214,Prisoners,ok,PASS,46000000,R,74,8.1
2013,tt0790736,R.I.P.D.,notalk,FAIL,130000000,PG-13,25,5.6
2013,tt1821694,Red 2,ok,PASS,84000000,NA,NA,NA
2013,tt1411250,Riddick,notalk,FAIL,38000000,R,49,6.4
2013,tt2364841,Runner Runner,nowomen,FAIL,30000000,R,36,5.6
2013,tt1979320,Rush,notalk,FAIL,38000000,R,75,8.3
2013,tt1702439,Safe Haven,ok,PASS,28000000,PG-13,34,6.7
2013,tt2140373,Saving Mr. Banks,ok,PASS,35000000,PG-13,65,7.7
2013,tt2053463,Side Effects,ok,PASS,30000000,R,75,7.1
2013,tt1408101,Star Trek Into Darkness,notalk,FAIL,190000000,PG-13,72,7.9
2013,tt1572315,Texas Chainsaw 3D,ok,PASS,20000000,R,NA,4.8
2013,tt1931435,The Big Wedding,ok,PASS,32500000,R,28,5.6
2013,tt0816442,The Book Thief,ok,PASS,19000000,PG-13,53,7.7
2013,tt1911644,The Call,ok,PASS,13000000,R,51,6.7
2013,tt1457767,The Conjuring,ok,PASS,20000000,R,68,7.6
2013,tt2193215,The Counselor,ok,PASS,25000000,R,48,5.5
2013,tt0481499,The Croods,men,FAIL,135000000,PG,55,7.3
2013,tt2404311,The Family,men,FAIL,30000000,R,42,6.4
2013,tt1837703,The Fifth Estate,notalk,FAIL,26000000,R,49,6.1
2013,tt2005374,The Frozen Ground,nowomen,FAIL,19200000,R,37,6.4
2013,tt1343092,The Great Gatsby,dubious,FAIL,190000000,PG-13,55,7.4
2013,tt1951261,The Hangover part 3,men,FAIL,103000000,NA,NA,NA
2013,tt2404463,The Heat,ok,PASS,43000000,R,60,6.7
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk,FAIL,250000000,PG-13,66,8.2
2013,tt1517260,The Host,dubious,FAIL,50000000,PG-13,35,5.9
2013,tt1951264,The Hunger Games: Catching Fire,ok,PASS,130000000,PG-13,75,7.9
